student_id,gender,grade_year,major,sleep_hours,study_hours,phone_hours,exercise_hours,score,gender_code,productive_hours,sleep_sufficient,phone_overuse
S001,여,1,인문사회,7.2,5.4,1.1,1.8,92.2,1,7.2,1,0
S002,여,2,인문사회,7.5,4.3,2.6,0.5,75.0,1,4.8,1,0
S003,여,4,이공계,8.1,5.7,3.5,1.9,85.7,1,7.6,1,0
S004,남,2,이공계,8.1,7.2,3.6,2.3,90.4,0,9.5,1,0
S005,남,2,이공계,5.1,4.1,2.8,1.5,71.5,0,5.6,0,0
S006,남,1,경상,5.7,4.1,3.4,2.7,71.3,0,6.8,0,0
S007,남,3,이공계,7.4,7.3,1.9,0.6,94.2,0,7.8999999999999995,1,0
S008,여,3,인문사회,7.4,5.9,3.3,0.2,80.5,1,6.1000000000000005,1,0
S009,여,2,이공계,7.4,3.7,3.7,0.0,78.0,1,3.7,1,0
S010,남,3,인문사회,9.85,5.5,4.3,2.4,82.4,0,7.9,1,1
S011,남,4,이공계,7.5,3.7,4.6,1.7,71.6,0,5.4,1,1
S012,여,1,이공계,8.2,3.7,1.8,1.2,76.7,1,4.9,1,0
S013,남,2,인문사회,7.9,4.9,1.2,1.4,93.2,0,6.300000000000001,1,0
S014,여,1,이공계,7.6,1.1,3.4,0.3,57.9,1,1.4000000000000001,1,0
S015,여,3,이공계,6.4,1.4,4.0,3.2,68.9,1,4.6,0,0
S016,여,2,이공계,7.7,3.5,2.4,1.3,68.9,1,4.8,1,0
S017,남,3,이공계,5.9,2.7,3.4,1.2,63.1,0,3.9000000000000004,0,0
S018,남,3,이공계,6.5,5.1,3.7,1.8,83.6,0,6.8999999999999995,0,0
S019,여,2,이공계,6.2,8.612500000000002,5.3,1.6,65.3,1,10.212500000000002,0,1
S020,여,4,경상,6.9,2.0,3.6,1.4,70.7,1,3.4,0,0
S021,남,2,인문사회,9.6,7.1,6.6,0.6,83.1,0,7.699999999999999,1,1
S022,여,1,인문사회,4.6,4.1,6.1,1.6,72.5,1,5.699999999999999,0,1
S023,남,3,이공계,7.6,4.6,3.1,2.7,93.2,0,7.3,1,0
S024,여,3,경상,4.9,1.9,5.0,2.3,58.2,1,4.199999999999999,0,1
S025,남,2,인문사회,6.2,3.5,4.5,2.5,68.7,0,6.0,0,1
S026,여,4,이공계,8.1,4.7,5.6,0.8,82.0,1,5.5,1,1
S027,남,4,인문사회,6.9,2.4,2.1,0.4,77.3,0,2.8,0,0
S028,남,1,이공계,5.5,5.2,4.5,1.1,72.3,0,6.300000000000001,0,1
S029,남,4,이공계,5.9,3.4,5.1,1.2,64.7,0,4.6,0,1
S030,남,1,인문사회,7.6,4.0,0.9,2.1,81.4,0,6.1,1,0
S031,여,1,경상,5.9,3.4,1.7,0.0,65.5,1,3.4,0,0
S032,여,1,인문사회,7.1,7.8,0.5,2.4,95.9,1,10.2,1,0
S033,남,4,예체능,6.9,4.5,3.1,1.1,72.3,0,5.6,0,0
S034,남,3,경상,6.0,2.6,4.6,0.9,59.9,0,3.5,0,1
S035,여,1,이공계,9.4,6.0,5.8,0.4,81.5,1,6.4,1,1
